instruction[8..0] sub_stage[2..0] carry barrow comp | RSC MA_In M_I M_O IR_I IR_O PC_O PC_Up PC_jmp ALU_inst[3..0] A_I A_O N1_I N1_O N2_I N2_O R0I R0O R1I R1O R2I R2O
    110110010           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110010           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110011           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110011           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110011           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110011           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110011           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110100           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110100           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110100           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110100           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110100           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110101           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110101           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110101           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110101           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110101           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110110           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110110           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110110           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110110           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110110           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110111           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110111           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110111           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110111           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110110111           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111000           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111000           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111000           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111000           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111000           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111001           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111001           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111001           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111001           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111001           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111010           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111010           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111010           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    110111010           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
